Source,Target,weight,URL,Discipline,PY,Tweet,Group
@NewmartsPG,@NewmanHistory,1,https://www.altmetric.com/details/6798027,His,2016,4,non-publisher
@byzantinepower,@MichaelBarger1,1,https://www.altmetric.com/details/8388646,His,2016,2,non-publisher
@klhjones,@emotionshistory,1,https://www.altmetric.com/details/28548923,His,2014,4,non-publisher
@limhistories,@emotionshistory,1,https://www.altmetric.com/details/28548923,His,2014,4,non-publisher
@sexhistorian,@emotionshistory,1,https://www.altmetric.com/details/28548923,His,2014,4,non-publisher
@KUnlatched,@OAPENbooks,1,https://www.altmetric.com/details/33601937,His,2015,2,non-publisher
@OKUYAMAYusuke,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@NauticalHistory,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@CUPBookshop,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@JutlandRemember,@NavyHistorian,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@JonathanBoff,@NavalHistWar,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@gcumming3,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@classicNavalAir,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@navalhistorian,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@CKLions,@Psy_Historian,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@UHHeritageHub,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@castlesofsteel,@NavalHistWar,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@_rjardon,@cambUP_History,2,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@RobExRAF,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@JutlandRemember,@cambUP_History,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@Psy_Historian,@NavalHistWar,1,https://www.altmetric.com/details/6411458,His,2016,25,publisher
@libreriaelpozo,@MarshsLibrary,1,https://www.altmetric.com/details/30482190,His,2018,4,non-publisher
@HubertBost1,@MarshsLibrary,1,https://www.altmetric.com/details/30482190,His,2018,4,non-publisher
@DerekVindice,@earlymodatLancs,1,https://www.altmetric.com/details/7279292,His,2016,4,non-publisher
@LincolnPix,@StacyPhD,1,https://www.altmetric.com/details/34675653,His,2015,5,non-publisher
@farfel54,@CaitlinEHaynes,1,https://www.altmetric.com/details/34675653,His,2015,5,non-publisher
@panthermtnichol,@StacyPhD,1,https://www.altmetric.com/details/34675653,His,2015,5,non-publisher
@Historiadoria,@MedGoldenAge,1,https://www.altmetric.com/details/16118002,His,2017,4,non-publisher
@_nitzaira,@MedGoldenAge,1,https://www.altmetric.com/details/16118002,His,2017,4,non-publisher
@mediber_digest,@MedGoldenAge,1,https://www.altmetric.com/details/16118002,His,2017,4,non-publisher
@MedGoldenAge,@MedGoldenAge,1,https://www.altmetric.com/details/16118002,His,2017,4,non-publisher
@rmathematicus,@HakluytSociety,1,https://www.altmetric.com/details/15185382,His,2016,2,non-publisher
@snolan17,@AMontgomery82,1,https://www.altmetric.com/details/25559353,His,2017,7,non-publisher
@P2PEngagement,@AMontgomery82,1,https://www.altmetric.com/details/25559353,His,2017,7,non-publisher
@SpeakerConolly,@drjamesdavey,1,https://www.altmetric.com/details/8114350,His,2016,4,non-publisher
@hguclu,@ihsanfazlioglu,1,https://www.altmetric.com/details/6795889,His,2016,4,non-publisher
@imubilimtarihi,@ihsanfazlioglu,1,https://www.altmetric.com/details/6795889,His,2016,4,non-publisher
@MedeniytFelsefe,@ihsanfazlioglu,1,https://www.altmetric.com/details/6795889,His,2016,4,non-publisher
@reedhistoryecsu,@OAPENbooks,1,https://www.altmetric.com/details/17077494,His,2016,3,non-publisher
@royalsontour,@OAPENbooks,1,https://www.altmetric.com/details/17077494,His,2016,3,non-publisher
@SilkDamask,@trueyankees,1,https://www.altmetric.com/details/28501182,His,2014,4,non-publisher
@mrshistorylee,@trueyankees,1,https://www.altmetric.com/details/28501182,His,2014,4,non-publisher
@austeneconomics,@austeneconomics,1,https://www.altmetric.com/details/14047402,His,2017,13,non-publisher
@Gothic_Desires,@austeneconomics,1,https://www.altmetric.com/details/14047402,His,2017,13,non-publisher
@helenrogers19c,@austeneconomics,1,https://www.altmetric.com/details/14047402,His,2017,13,non-publisher
@blacktokyo,@alessionaval,1,https://www.altmetric.com/details/42213152,His,2015,10,non-publisher
@hiroshis8,@alessionaval,1,https://www.altmetric.com/details/42213152,His,2015,10,non-publisher
